service,region,N,max_stack,max_connected
post,yakut_chuk,10,0.7,0.3
post,yanao_kras,12,0.8333333333333334,0.4166666666666667
post,nao,36,0.5,0.25
culture,yakut_chuk,10,0.7,0.3
culture,yanao_kras,9,0.6666666666666666,0.3333333333333333
culture,nao,35,0.5714285714285714,0.2857142857142857
health,yakut_chuk,10,0.7,0.3
health,yanao_kras,15,0.6666666666666666,0.3333333333333333
health,nao,28,0.5357142857142857,0.25
port,yakut_chuk,17,0.7647058823529411,0.5882352941176471
port,yanao_kras,4,0.0,0.0
port,nao,37,0.32432432432432434,0.16216216216216217
airport,yakut_chuk,10,0.7,0.3
airport,yanao_kras,19,0.5263157894736842,0.2631578947368421
airport,nao,37,0.43243243243243246,0.21621621621621623
marina,yakut_chuk,20,1.05,0.7
marina,yanao_kras,25,0.32,0.16
marina,nao,36,0.2222222222222222,0.1111111111111111
